"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","p.value","category","indicator","exposure","step"
"fixed",NA,"int_avail_sum_TC_1",0.0388082916705243,0.0179578329081076,2.16107878211759,TRUE,"DY_forest_share",279,56,"Short-term",NA,"Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",-0.0509158364115279,0.0303757070483703,-1.67620251046172,TRUE,"DY_forest_share",168,79,"Short-term",NA,"Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",0.0773007418767662,0.0317306750243853,2.4361518252404,TRUE,"DY_forest_share",87,47,"Short-term",NA,"Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.0856270184776017,0.0238486351238501,3.59043685447513,TRUE,"DY_forest_share",121,76,"Short-term",NA,"Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_CLE_2",0.192209051863604,0.0972940423188127,1.97554801180707,FALSE,"DY_forest_share",7,475,"Short-term",NA,"Count (sum)"," CLE","Involved",2
"fixed",NA,"int_invol_sum_EE_1",0.0437758053779514,0.0252761865912907,1.7318991225138,TRUE,"DY_forest_share",178,113,"Short-term",NA,"Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_EE_2",0.33531562204935,0.116575693531877,2.87637681484314,FALSE,"DY_forest_share",5,475,"Short-term",NA,"Count (sum)"," EE","Involved",2
"fixed",NA,"int_invol_sum_FE_1",0.0600630011720944,0.0585720137077045,1.02545562923328,TRUE,"DY_forest_share",54,37,"Short-term",NA,"Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",0.0451407929840964,0.0396030838654823,1.13983025002355,TRUE,"DY_forest_share",75,54,"Short-term",NA,"Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.0644093346214876,0.0346890678728355,1.85676175726606,TRUE,"DY_forest_share",60,42,"Short-term",NA,"Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",0.0635568520091707,0.0351610019311767,1.80759502057351,TRUE,"DY_forest_share",18,16,"Short-term",NA,"Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",0.105822707709765,0.0279973576282941,3.77973911376623,TRUE,"DY_forest_share",13,10,"Short-term",NA,"Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",0.125692857540005,0.0439377893029376,2.86070053896867,TRUE,"DY_forest_share",10,9,"Short-term",NA,"Count (sum)"," NCLE","Involved",5
NA,NA,"int_invol_sum_RFAC_1",0.0394171654210862,0.149719236611537,0.263273887265125,TRUE,"DY_forest_share",11,9,"Short-term",0.795329577563387,"Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",0.0142411411992486,0.0128122844375685,1.11152240403673,TRUE,"DY_forest_share",109,62,"Short-term",NA,"Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",-0.0268878442897856,0.0308988044790584,-0.87019044079873,TRUE,"DY_forest_share",129,76,"Short-term",NA,"Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.14816450393702,0.044331992330349,3.34215757399175,TRUE,"DY_forest_share",41,30,"Short-term",NA,"Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.131393332458935,0.0474857085894603,2.76700793484839,TRUE,"DY_forest_share",23,22,"Short-term",NA,"Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_CLE_2",0.219547152908448,0.104619302393669,2.09853390230342,FALSE,"DY_forest_share",6,475,"Short-term",NA,"Count (sum)"," CLE","Changed behavior",2
"fixed",NA,"int_chnge_sum_EE_1",-0.0595172553338816,0.0522018233553249,-1.14013748004092,TRUE,"DY_forest_share",36,32,"Short-term",NA,"Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",-0.0144549364171039,0.0849883669072481,-0.170081352814783,TRUE,"DY_forest_share",21,17,"Short-term",NA,"Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",0.106613070180049,0.0350725441639596,3.03978718172388,TRUE,"DY_forest_share",54,46,"Short-term",NA,"Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",0.0120874943013559,0.0414032690471797,0.291945408648336,TRUE,"DY_forest_share",6,6,"Short-term",NA,"Count (sum)"," NCLE","Changed behavior",2
NA,NA,"int_chnge_sum_RFAC_1",-0.222222222797113,0.472222222797113,-0.470588235938632,TRUE,"DY_forest_share",2,2,"Short-term",0.684265184425137,"Count (sum)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_sum_TC_1",0.0432539870826065,0.0155541901759882,2.78085754341489,TRUE,"DY_forest_share",12,10,"Short-term",NA,"Count (sum)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_sum_OI_1",0.0325634546689363,0.045322365435633,0.718485329614648,TRUE,"DY_forest_share",46,33,"Short-term",NA,"Count (sum)"," OI","Changed behavior",1
"fixed",NA,"int_cat_tot_avail_1",-0.0131282987524761,0.0258762568058641,-0.507349221758416,TRUE,"DY_forest_share",337,144,"Short-term",NA,"Count (sum)","Total","Available",1
"fixed",NA,"int_cat_tot_avail_2",-0.193498866548826,0.0460153315389789,-4.20509556439719,TRUE,"DY_forest_share",196,53,"Short-term",NA,"Count (sum)","Total","Available",2
"fixed",NA,"int_cat_tot_avail_3",-0.0437797080350156,0.0384698443804326,-1.13802664762751,TRUE,"DY_forest_share",67,38,"Short-term",NA,"Count (sum)","Total","Available",3
"fixed",NA,"int_cat_tot_avail_4",0.0543874593037862,0.0229116939158311,2.37378604583255,TRUE,"DY_forest_share",167,87,"Short-term",NA,"Count (sum)","Total","Available",4
