DGP_Form,Inference_Form,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
101,exponential,tau[335],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[336],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[337],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[338],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[339],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[340],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[341],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[342],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[343],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[344],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[345],0.0,0.0,0.0,0.0,0.0,,8000.0,8000.0,
101,exponential,tau[346],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[347],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[348],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[349],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[350],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[351],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[352],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[353],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[354],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[355],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[356],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[357],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[358],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[359],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[360],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[361],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[362],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[363],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[364],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[365],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[366],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[367],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[368],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[369],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[370],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[371],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[372],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[373],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[374],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[375],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[376],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[377],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[378],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[379],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[380],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[381],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[382],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[383],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[384],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[385],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[386],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[387],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[388],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[389],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[390],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[391],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[392],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[393],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[394],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[395],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[396],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[397],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[398],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[399],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[400],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[401],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
